Noise, L1 lasso Misclassification Rate, Elastic Net Misclassification Rate
10%, 0.3373 ± 0.0076 SE, 0.3142 ± 0.0084 SE
20%, 0.3502 ± 0.0073 SE, 0.3210 ± 0.0067 SE
