Noise,L1 lasso Misclassification Rate,Elastic Net Misclassification Rate
10%,0.1986 ± 0.0101 SE,0.1753 ± 0.0063 SE
20%,0.2873 ± 0.0117 SE,0.2585 ± 0.0110 SE
